Version,"RVGL 21.0930a-1","P2P","Client"
Session,"03/20/23 20:08:04","WILLIAM ADAMA","Arcade",50,"false"
Results,"Autumn Ring Mini",15
#,Player,Car,Time,BestLap,Finished,Cheating
01,"LAMP","Acclaim F1","24:06:327","00:28:250","true","false"
02,"ERZU","Acclaim F1","24:09:740","00:28:189","true","false"
03,"COPYSOFT","Acclaim F1","24:26:500","00:28:473","true","false"
04,"ZEINO","Acclaim F1","24:34:299","00:28:497","true","false"
05,"ASHEN FOREST","Acclaim F1","24:48:306","00:28:826","true","false"
06,"INIGO","Acclaim F1","25:20:691","00:29:261","true","false"
07,"ATLAS/ SEA SIDE","Acclaim F1","25:23:839","00:28:488","true","false"
08,"WILLIAM ADAMA","Acclaim F1","25:49:904","00:28:950","true","false"
09,"NEON","Acclaim F1","25:54:127","00:28:949","true","false"
10,"TRAMINO","Acclaim F1","26:01:412","00:29:182","true","false"
11,"OLMO","Acclaim F1","26:06:697","00:29:455","true","false"
12,"MATEO","Acclaim F1","27:08:080","00:29:388","true","false"
13,"MW F1 TEAM1","Acclaim F1","28:14:555","00:30:616","true","false"
14,"BGC","Acclaim F1","28:59:201","00:31:043","true","false"
15,"PIESLAWSKI","Acclaim F1","41:39:100","00:35:116","false","false"
