Version,"RVGL 21.0930a-1","P2P","Server"
Session,"04/12/23 20:04:00","WILLIAM ADAMA","Arcade",66,"false"
Results,"Wabe Ring",13
#,Player,Car,Time,BestLap,Finished,Cheating
01,"PUURONALLOPESCA","Acclaim F1","29:13:300","00:23:537","true","true"
02,"AH MARAUDER","Acclaim F1","29:45:579","00:25:081","true","false"
03,"INIGO","Acclaim F1","34:25:803","00:28:115","true","true"
04,"ASHEN FOREST","Acclaim F1","34:46:901","00:29:318","true","true"
05,"POWERATE","Acclaim F1","35:56:935","00:28:435","true","true"
06,"DZEJKOBS","Acclaim F1","36:06:012","00:29:007","true","true"
07,"NEON","Acclaim F1","36:26:167","00:27:526","true","true"
08,"KAZZIK/SEASIDE","Acclaim F1","36:43:582","00:28:452","true","true"
09,"TRAMINO","Acclaim F1","37:19:683","00:29:460","true","true"
10,"CERBIATTO","Acclaim F1","37:59:871","00:30:295","true","true"
11,"VULPANITA","Acclaim F1","38:01:316","00:29:394","true","true"
12,"GDANIO","Acclaim F1","43:05:202","00:33:245","true","true"
