Version,"RVGL 21.0930a-1","P2P","Server"
Session,"04/17/23 20:03:20","WILLIAM ADAMA","Arcade",35,"false"
Results,"SS Route Re-Volt",15
#,Player,Car,Time,BestLap,Finished,Cheating
01,"WILLIAM ADAMA","Acclaim F1","27:01:902","00:43:624","true","false"
02,"ERZU","Acclaim F1","27:36:402","00:44:986","true","true"
03,"VULPANITA","Acclaim F1","28:33:549","00:43:453","true","true"
04,"INIGO","Acclaim F1","28:43:136","00:47:633","true","true"
05,"COPYSOFT","Acclaim F1","28:47:301","00:47:670","true","true"
06,"OLMO","Acclaim F1","29:23:183","00:47:718","true","true"
07,"NEON","Acclaim F1","29:35:085","00:47:560","true","true"
08,"TRAMINO","Acclaim F1","30:38:474","00:48:168","true","true"
09,"ATLAS /SEA SIDE","Acclaim F1","30:45:981","00:49:703","true","true"
10,"ASHEN FOREST","Acclaim F1","32:56:529","00:54:734","true","true"
11,"MW F1 TEAM1","Acclaim F1","34:25:392","00:56:147","true","true"
12,"MATEO","Acclaim F1","34:54:546","00:53:878","true","true"
13,"PIESLAWSKI","Acclaim F1","35:32:092","00:55:286","true","true"
14,"BGC","Acclaim F1","38:15:455","00:54:047","true","true"
