Version,"RVGL 21.0930a-1","P2P","Server"
Session,"04/24/23 20:05:17","WILLIAM ADAMA","Arcade",30,"false"
Session,"04/24/23 20:12:54","WILLIAM ADAMA","Arcade",30,"false"
Results,"Red Rock Valley",13
#,Player,Car,Time,BestLap,Finished,Cheating
01,"VULPANITA","Acclaim F1","26:01:813","00:49:709","true","true"
02,"TRAMINO","Acclaim F1","27:52:996","00:52:401","true","true"
03,"GDANIO","Acclaim F1","28:00:793","00:54:794","true","true"
04,"INIGO","Acclaim F1","28:08:229","00:54:909","true","true"
05,"LAMPAERT","Acclaim F1","28:25:687","00:55:893","true","true"
06,"OLMO","Acclaim F1","28:44:340","00:57:014","true","true"
07,"DZEJKOBS","Acclaim F1","29:06:276","00:55:973","true","true"
08,"NEON","Acclaim F1","30:39:258","00:59:692","true","true"
09,"MATEO","Acclaim F1","32:28:869","01:03:897","true","true"
10,"MW F1 TEAM","Acclaim F1","33:17:042","01:02:388","true","true"
11,"BGC","Acclaim F1","35:46:512","01:04:625","true","true"
12,"ASHEN FOREST","Acclaim F1","38:05:913","01:14:768","true","true"
