Version,"RVGL 23.0501a1","P2P","Server"
Session,"05/04/23 20:04:38","WILLIAM ADAMA","Arcade",80,"false"
Results,"Eggland",12
#,Player,Car,Time,BestLap,Finished,Cheating
01,"COPYSOFT","Acclaim F1","24:48:926","00:16:967","true","true"
02,"ASHEN FOREST","Acclaim F1","26:06:468","00:18:464","true","true"
03,"WILLIAM ADAMA","Acclaim F1","26:17:521","00:17:534","true","false"
04,"NEON","Acclaim F1","26:32:942","00:17:432","true","true"
05,"MATEO","Acclaim F1","27:20:028","00:17:909","true","true"
06,"VULPANITA","Acclaim F1","27:39:196","00:16:423","true","true"
07,"OLMO","Acclaim F1","27:50:887","00:18:998","true","true"
08,"PUURONALLOPESCA","Acclaim F1","27:56:137","00:18:751","true","true"
09,"CERBIATTO","Acclaim F1","30:17:180","00:19:596","true","true"
10,"TRAMINO","Acclaim F1","32:10:131","00:19:505","true","true"
11,"|CAL|ADAMYUNIEK","Acclaim F1","37:18:672","00:20:430","false","true"
12,"BGC","Acclaim F1","984:55:300","00:38:596","false","true"
Session,"05/04/23 20:39:30","WILLIAM ADAMA","Arcade",80,"false"
