Version,"RVGL 23.0501a1","P2P","Server"
Session,"05/08/23 20:00:31","WILLIAM ADAMA","Arcade",55,"false"
Results,"Keitune Speedway",15
#,Player,Car,Time,BestLap,Finished,Cheating
01,"ZEINO","Acclaim F1","30:02:779","00:29:069","true","true"
02,"ASHEN FOREST","Acclaim F1","32:09:581","00:32:966","true","true"
03,"LOPESCA","Acclaim F1","32:30:658","00:32:754","true","false"
04,"MATEO","Acclaim F1","33:00:814","00:33:283","true","true"
05,"VULPANITA","Acclaim F1","33:29:818","00:30:917","true","true"
06,"OLMO","Acclaim F1","33:42:875","00:35:086","true","true"
07,"INIGO","Acclaim F1","33:44:396","00:34:215","true","true"
08,"DZEJKOBS","Acclaim F1","34:02:627","00:33:014","true","true"
09,"CAL|ADAMUNIEK","Acclaim F1","38:35:840","00:33:742","true","true"
10,"TRAMINO","Acclaim F1","38:59:345","00:36:799","true","true"
11,"GDANIO","Acclaim F1","39:15:516","00:38:422","true","true"
12,"ANAGAMA","Acclaim F1","40:12:760","00:38:404","true","true"
13,"BGC","Acclaim F1","134:27:656","00:49:461","false","true"
